classes
Manilkara zapota
Markhamia lutea
Melaleuca bracteata
Melia azedarach
Memecylon umbellatum
Mesua ferrea
Meyna laxiflora
Miliusa tomentosa
Millettia peguensis
Millingtonia hortensis
Mimusops elengi
Mitragyna parviflora
Morinda citrifolia
Morinda pubescens
Moringa oleifera
Morus alba
Morus australis
Muntingia calabura
Murraya koenigii
Murraya paniculata
Myristica fragrans
Myrtus communis
Neolamarckia cadamba
Nyctanthes arbor-tristis
Ochna integerrima
Olea dioica
Olea europaea
Oroxylum indicum
Pachira aquatica
Pachypodium lamerei
Parkia biglandulosa
Parkinsonia aculeata
Parmentiera cerefeira
Peltophorum africanum
Peltophorum dubium
Peltophorum roxburghii
Persea americana
Pheonix dactylifera
Phoenix sylvestris
Phyllanthus acidus
Phyllanthus emblica
Pimenta dioica
Pinus roxbhurghii
Piscidia piscipula
Pithecelobium dulces
Platycladus orientalis
Plumeria alba
Plumeria rubra
Podocarpus neriifolius
Polyalthia longifola
Pongamia pinnata
Populus alba
Populus ciliata
Populus nigra
Prosopis chilensis
Prosopis cineraria
Prosopis juliflora
Pseudobombax ellipticum
Psidium guajava
Pterocarpus marsupium
Pterospermulm acerifolium
Pterospermum suberifolium
Pterygota alata
Punica granatum
Putranjiva roxburghii
Ravenala madagascariensis
Rhizhophora mucronata
Roystonea regia
Salix tetrasperma
Salvadora persica
Santalum album
Sapindus emarginatus
Sapindus laurifolius
Sapindus mukorossi
Saraca asoca
Saribus rotundifolius
Schefflera actinophylla
Schleichera oleosa
Schrebera swietenioides
Semicarpus anacardium
Senna siamea
Sesbania grandiflora
Simarouba amara
Solanum albidum
Solanum macranthum
Spathodea campanulata
Spondias pinnata
Sterculia foetida
Sterculia guttata
Sterculia urens
Stereospermum chelonoides
Streblus asper
Strychnos nux-vomica
Strychnos potatorum
Swietenia macrophylla
Swietenia mahogani
Syagrus romanzoffiana
Syzygium cumini
Syzygium jambos
Syzygium samarangense
Tabebuia aurea
Tabebuia heterophylla
Tabebuia rosea
Tabernaemontana divaricata
Tamarindus indica
Tamarix aphylla
Tamilnadia uliginosa
Taxodium distichum
Tecomella undulata
Tectona grandis
Terminalia arjuna
Terminalia bellirica
Terminalia catappa
Terminalia chebula
Terminalia crenata
Terminalia crenulata
Terminalia mantaly
Terminalia paniculata
Theobroma cacao
Thespesia populnea
Toona ciliata
Trema orientalis
Triadica sebifera
Wodyetia bifurcata
Wrightea arborea
Wrightea tinctorea
Xylia xylocarpa
Zanthoxylum rhetsa
Ziziphus rugosa
Zizyphus jujuba
pterospermum xylocarpum
