id,scientific name,english name,hindi name,family,tree_class
83,Butea monosperma,Flame of the Forest,Palash,Leguminosae,Wild tree
84,Caesalpinia coriaria,Divi Divi,,Leguminosae,Avenue tree
85,Caesalpinia pulcherrima,Peacock Flower,Guletura,Leguminosae,Ornamental tree
86,Calamus rotang,Common rattan,Rattan,Arecaceae,Palms
87,Calliandra haematocephala,Red Powder Puff,NA,Leguminosae,Ornamental tree
88,Callistemon lanceolatus,Bottle brush,Cheel,Myrtaceae,Ornamental tree
89,Callistemon salignus,White bottle brush,NA,Myrtaceae,Ornamental tree
90,Callistemon viminalis,Weeping bottle brush,Cheel,Myrtaceae,Ornamental tree
91,Calophyllum inophyllum,Beauty Leaf,Sultan champa,Clusiaceae,Medicinal tree
92,Cananga odorata,Ylang Ylang,NA,Annonaceae,Ornamental tree
93,Canarium strictum,Black dhup,Dhoop,Burseraceae,Ornamental tree
94,Canarium vulgare,Java Almond,NA,Burseraceae,Ornamental tree
95,Canthium dicoccos,Ceylon Boxwood,Tupa,Rubiaceae,Ornamental tree
96,Capparis divaricata,Spreading Caper,Pachunda,Capparaceae,Avenue tree
97,Capparis grandis,Tree Caper,Pachunda,Capparaceae,Avenue tree
98,Carallia brachiata,Freshwater mangrove,NA,Rhizophoraceae,Mangrove
99,Careya arborea,Wild Guava,Kumbhi,Lecythidaceae,Wild tree
100,Caryota urens,Fishtail Palm,Mari,Arecaceae,Palms
101,Cascabela thevetia,Yellow Oleander,Peeli kaner,Apocynaceae,Ornamental tree
102,Casearia graveolens,Chilla,Bhokoda,Salicaceae,Wild tree
103,Casearia tomentosa,Toothed Leaf Chilla,Chilla,Salicaceae,Wild tree
104,Cassia abbreviata,Long-tail cassia,NA,Leguminosae,Ornamental tree
105,Cassia javanica,Java's Cassia,NA,Leguminosae,Avenue tree
106,Cassia renigera,Burmese Pink Cassia,NA,Leguminosae,Avenue tree
107,Cassia fistula,Golden shower tree,Amaltas,Leguminosae,Avenue tree
108,Cassia grandis,Coral Shower Tree,NA,Leguminosae,Avenue tree
109,Cassia roxburghii,Red Cassia,NA,Verbenaceae,Avenue tree
110,Cassine glauca,Ceylon Tea,Jamrasi,Celastraceae,Wild tree
111,Cassine orientalis,False Olive,NA,Celastraceae,Ornamental tree
112,Castanospermum australe,Australian Chestnut,NA,Leguminosae,Avenue tree
113,Casuarina equisetifolia,Whistling Pine,Sura,Casuarinaceae,Avenue tree
114,Catunaregam spinosa,Mountain pomegranate,Maniphal,Rubiaceae,Medicinal tree
115,Ceiba speciosa,Silk Floss Tree,Resham rui,Malvaceae,Ornamental tree
116,Ceiba pentandra,White Silk-Cotton Tree,Safed semal,Malvaceae,Avenue tree
117,Cerbera manghas,Sea Mango,NA,Apocynaceae,Avenue tree
118,Chloroxylon swietenia,Ceylon Satinwood,Behru,Rutaceae,Medicinal tree
119,Chrysophyllum oliviforme,Satinleaf,NA,Sapotaceae,Fruiting tree
120,Chrysophyllum cainito,Star Apple,NA,Sapotaceae,Fruiting tree
121,Chukrasia tabularis,Indian Redwood,Chikrasi,Meliaceae,Wild tree
122,Cinnamomum camphora,Camphor,kapur,Lauraceae,Medicinal tree
123,Cinnamomum verum,Cinnamon,Dalchini,Lauraceae,Medicinal tree
124,Cinnamomum tamala,Indian Bay Leaf,Tejpatta,Lauraceae,Medicinal tree
125,Citharexylum spinosum,Fiddlewoof,,Verbenaceae,Ornamental tree
126,Citrus aurantiifolia,Sour lime,Kagji nimbu,Rutaceae,Fruiting tree
127,Citrus aurantium,Lime,Nimbu,Rutaceae,Fruiting tree
128,Citrus maxima,Pomelo,Paparmas,Rutaceae,Fruiting tree
129,Citrus limon,Lemon,Nimbu,Rutaceae,Fruiting tree
130,Citrus medica,Citron,Galgal,Rutaceae,Fruiting tree
131,Citrus sinensis,Sweet orange,Santra,Rutaceae,Fruiting tree
132,Clitoria fairchildiana,Pegion wing,NA,Fabaceae,Ornamental tree
133,Clusia rosea,Autograph tree,NA,Clusiaceae,Ornamental tree
134,Cochlospermum religiosum,Buttercup tree,Galgal,Bixaceae,Ornamental tree
135,Cocos nucifera,Coconut,Nariyal,Arecaceae,Palms
136,Colvellia racemosa,Colville's glory,Kilbil,Leguminosae,Avenue tree
137,Cordia dichotoma,Indian cherry,Lasora,Boraginaceae,Wild tree
138,Cordia subcordata,Beach cordia,NA,Boraginaceae,Ornamental tree
139,Cordia myxa,Assyrian Plum,Lasoda,Boraginaceae,Medicinal tree
140,Cordia sebestena,Scarlet cordia,Laal lasora,Ehretiaceae,Ornamental tree
141,Cordia sinensis,Grey-leaved Saucer berry,Gondani,Boraginaceae,Medicinal tree
142,Couroupita guianensis,Cannon ball tree,Shivalingam,Lecythidaceae,Ornamental tree
143,Crateva tapia,Tapia,Varuna,Capparaceae,Ornamental tree
144,Crateva nurvala,Garlic pear tree,Barna,Capparaceae,Ornamental tree
145,Crescentia cujute,Calabash tree,NA,Bignoniaceae,Fruiting tree
146,Crescentia alata,Mexican Calabash tree,Kamandal,Bignoniaceae,Fruiting tree
147,Cupressus sempervirens,Italian Cupressus,NA,Cupressaceae,Ornamental tree
149,Cupressus torulosa,Himalayan Cypress,NA,Cupressaceae,Ornamental tree
150,Cycas circinalis,Queen sago,NA,Cycadaceae,Ornamental tree
151,Cycas revoluta,Sago palm,NA,Cycadaceae,Ornamental tree
152,Dalbergia melanoxylon,African Blackwood,Patangi,Leguminosae,Ornamental tree
153,Dalbergia sissoo,Indian Rosewood,Shisham,Leguminosae,Avenue tree
154,Dalbergia lanceolaria,NA,Takoli,Leguminosae,Ornamental tree
155,Dalbergia lanceolaria subsp. paniculata,Takoli,Passi,Leguminosae,Ornamental tree
156,Dalbergia latifolia,Black Rosewood,Kala shisham,Leguminosae,Ornamental tree
157,Delonix elata,White gulmohar,Waykaram,Leguminosae,Avenue tree
158,Delonix regia,Flame Tree,Gulmohar,Leguminosae,Avenue tree
159,Desmodium oojeinense,Sandan,Tinnas,Leguminosae,Medicinal tree
160,Dichrostachys cinerea,Sickle bush,Kunali,Leguminosae,Wild tree
161,Dillenia pentagyna,Dog Teak,Karmal,Dilleniaceae,Avenue tree
162,Dillenia indica,Elephant Apple,Chalta,Dilleniaceae,Avenue tree
163,Diospyros melanoxylon,Coromandel Ebony,Abnus,Ebenaceae,Avenue tree
164,Diospyros malabarica,Indian persimmon,Gaab,Ebenaceae,Avenue tree
165,Dipterocarpus retusus,Rusty Leaf Garjan,NA,Dipterocarpaceae,Wild tree
166,Dolichandrone falcata,Medhshingi,Hawar,Bignoniaceae,Wild tree
167,Dombeya acutangula,Dombeya,NA,Malvaceae,Ornamental tree
168,Dombeya spectabilis,Maple Leaved Dombeya,NA,Malvaceae,Ornamental tree
169,Dombeya wallichii,Pink Ball,NA,Malvaceae,Ornamental tree
170,Dypsis lutescens,Golden cane palm,NA,Arecaceae,Palms
171,Ehretia laevis,Chamror,Charmor,Ehretiaceae,Wild tree
172,Elaeis guineensis,African Oil Palm,NA,Arecaceae,Palms
173,Elaeocarpus serratus,Ceylon Olive,Rudraksh,Elaeocarpaceae,Flowering tree
174,Erythrina crista-galli,Cockspur coral tree,NA,Leguminosae,Flowering tree
175,Erythrina suberosa,Indian Coral Tree,Dhaul dhak,Leguminosae,Wild tree
176,Erythrina variegata,Indian Coral Tree,Pangara,Leguminosae,Avenue tree
177,Eucalyptus microtheca,Coolabah,NA,Myrtaceae,Ornamental tree
178,Eucalyptus globulus,Blue gum tree,Neelagiri,Myrtaceae,Ornamental tree
179,Eucalyptus tereticornis,Forest Red Gum,Neelagiri,Myrtaceae,Ornamental tree
180,Euphorbia lactea,Candelabra plant,NA,Euphorbiaceae,Wild tree
181,Euphorbia tirucalli,Indian Tree Spurge,Anglithor,Euphorbiaceae,Wild tree
182,Excoecaria agallocha,Milky mangrove,Gangiva,Euphorbiaceae,Ornamental tree
183,Ficus benghalensis var. krishnae,Krishna Fig,Makhan Katori,Moraceae,Ornamental tree
184,Ficus lacor,Java fig,Pakar,Moraceae,Ornamental tree
185,Ficus longifolia,Narrow-leaf Fig,NA,Moraceae,Ornamental tree
186,Ficus lyrata,Fiddle-leaf Fig,NA,Moraceae,Avenue tree
187,Ficus talbotii,Talbot Fig,NA,Moraceae,Wild tree
188,Ficus virens,White Fig,Pilkhan,Moraceae,Avenue tree
189,Ficus amplissima,Bat Tree,Pipari,Moraceae,Avenue tree
190,Ficus arnottiana,Indian Rock Fig,Paras pipal,Moraceae,Avenue tree
191,Ficus aspera,Clown Fig,NA,Moraceae,Ornamental tree
192,Ficus benghalensis,Banyan tree,Bargad,Moraceae,Avenue tree
193,Ficus benjamina,Weeping Fig,Pukar,Moraceae,Ornamental tree
194,Ficus carica,Common Fig,Anjeer,Moraceae,Fruiting tree
195,Ficus drupacea,Mysore Fig,NA,Moraceae,Ornamental tree
196,Ficus elastica,Indian Rubber Tree,NA,Moraceae,Avenue tree
197,Ficus exasperata,Sandpaper Tree,Karapatra,Moraceae,Ornamental tree
198,Ficus hispida,Hairy Fig,Gobla,Moraceae,Ornamental tree
199,Ficus microcarpa,Chinese Banyan,Kamarup,Moraceae,Avenue tree
200,Ficus natalensis,Triangle leaf ficus,NA,Moraceae,Ornamental tree
201,Ficus palmata,Punjab Fig,Anjiri,Moraceae,Ornamental tree
202,Ficus racemosa,Cluster fig,Goolar,Moraceae,Fruiting tree
203,Ficus religiosa,sacred fig tree,pipal,Moraceae,Avenue tree
