id,scientific name,english name,hindi name,family,tree_class
359,Saribus rotundifolius,Roundleaf Fountain Palm,NA,Arecaceae,Avenue tree
360,Schefflera actinophylla,Umbrella Tree,NA,Araliaceae,Avenue tree
361,Schleichera oleosa,Lac tree,Kusum,Sapindaceae,Avenue tree
362,Schrebera swietenioides,Weaver's beam tree,NA,Oleaceae,Wild tree
363,Semecarpus anacardium,Marking Nut,Bhilawan,Anacardiaceae,Fruiting tree
364,Senna siamea,Siamese cassia,Kassod,Leguminosae,Avenue tree
365,Sesbania grandiflora,Agati,Agasti,Leguminosae,Flowering tree
366,Simarouba amara,Bitterwood,NA,Simaroubaceae,Avenue tree
367,Solanum albidum,Lumo,NA,Solanaceae,Ornamental tree
368,Solanum macranthum,Potato Tree,NA,Solanaceae,Avenue tree
369,Spathodea campanulata,African tulip Tree,Rugtoora,Bignoniaceae,Avenue tree
370,Spondias pinnata,Wild Mango,Ambada,Anacardiaceae,Avenue tree
371,Sterculia guttata,Spotted Sterculia,Hirik,Malvaceae,Avenue tree
372,Sterculia urens,Indian Gum tragacanth,Sardol,Malvaceae,Avenue tree
373,Sterculia foetida,Wild Indian Almond,Jangli Badam,Malvaceae,Avenue tree
374,Stereospermum chelonoides,Fragrant Padri tree,Padeli,Bignoniaceae,Medicinal tree
375,Streblus asper,Sand Paper Tree,Sahora,Moraceae,Ornamental tree
376,Strychnos nux-vomica,Poison Nut,Bailewa,Loganiaceae,Medicinal tree
377,Strychnos potatorum,Clearing Nut Tree,Nirmali,Loganiaceae,Medicinal tree
378,Swietenia mahagoni,American Mahogany,NA,Meliaceae,Avenue tree
379,Swietenia macrophylla,Big-Leaf Mahogany,NA,Meliaceae,Avenue tree
380,Syagrus romanzoffiana,Sygarus palm,NA,Arecaceae,Palms
381,Syzygium cumini,Jamun,Jamun,Myrtaceae,Fruiting tree
382,Syzygium jambos,Rose Apple,Gulab Jamun,Myrtaceae,Fruiting tree
383,Syzygium samarangense,Wax Apple,Jamrul,Myrtaceae,Fruiting tree
384,Tabebuia aurea,Carribean Trumpet Tree,NA,Bignoniaceae,Avenue tree
385,Tabebuia heterophylla,Cuban Pink Trumpet Tree,NA,Bignoniaceae,Avenue tree
386,Tabebuia rosea,Pink Trumpet Tree,Basant Rani,Bignoniaceae,Avenue tree
387,Tabernaemontana divaricata,Crape Jasmine,Chandni,Apocynaceae,Ornamental tree
388,Tamarindus indica,Tamarind,Imli,Leguminosae,Fruiting tree
389,Tamarix aphylla,Red Tamarisk,Faraash,Tamaricacea,Ornamental tree
390,Tamilnadia uliginosa,Divine jasmine,Tamilnadia,Rubiaceae,Wild tree
391,Taxodium distichum,Bald Cypress,NA,Cupressaceae,Ornamental tree
392,Tecomella undulata,Roheda,Roheda,Bignoniaceae,Medicinal tree
393,Tectona grandis,Teak,Sagun,Lamiaceae,Ornamental tree
394,Terminalia crenulata,Indian Laurel,Saj,Combretaceae,Medicinal tree
395,Terminalia arjuna,Arjun,Arjun,Combretaceae,Medicinal tree
396,Terminalia bellirica,Beach almond,Bahera,Combretaceae,Medicinal tree
397,Terminalia catappa,Indian Almond,Jangli badam,Combretaceae,Avenue tree
398,Terminalia chebula,Chebulic Myrobalan,Harad,Combretaceae,Medicinal tree
399,Terminalia crenata,NA,NA,Combretaceae,Ornamental tree
400,Terminalia mantaly,Madagascan Almond,NA,Combretaceae,Avenue tree
401,Terminalia paniculata,Flowering Murdah,Kindal Tree,Combretaceae,Wild tree
402,Theobroma cacao,Cocoa Tree,NA,Malvaceae,Fruiting tree
403,Thespesia populnea,Indian tulip tree,Paras pipal,Malvaceae,Avenue tree
404,Toona ciliata,Indian Mahogany,Toon,Meliaceae,Avenue tree
405,Trema orientalis,Indian Charcoal Tree,Jivan,Cannabaceae,Wild tree
406,Triadica sebifera,Chinese tallow tree,NA,Euphorbiaceae,Ornamental tree
407,Wodyetia bifurcata,Foxtail Palm,NA,Arecaceae,Palms
408,Wrightia arborea,Woolly Dyeing Rosebay,Daira,Apocynaceae,Medicinal tree
409,Wrightia tinctoria,Sweet Indrajao,Kapar,Apocynaceae,Medicinal tree
410,Xylia xylocarpa,Burma Ironwood,Jambu,Leguminosae,Ornamental tree
411,Zanthoxylum rhetsa,Indian Prickly ash,NA,Rutaceae,Wild tree
412,Ziziphus jujuba,Indian Jujube,Ber,Rhamnaceae,Fruiting tree
413,Ziziphus rugosa,Wild Jujube,Churana,Rhamnaceae,Fruiting tree
